date,class
D-1/3/90 to D-12/3/90,1
D-1/1/90 to D-26/1/90,1
D-1/5/90 to D-6/5/90,1
D-4/4/90 to D-8/4/90,1
D-4/7/90 to D-8/7/90,1
D-21/8/90 to D-25/8/90,1
D-16/12/90 to D-20/12/90,1
D-27/12/90 to D-30/12/90,1
D-3/3/91 to D-6/3/91,1
D-5/4/91 to D-12/4/91,1
D-10/7/91 to D-12/7/91,1
D-2/6/91 to D-4/6/91,1
D-15/4/91 to D-21/4/91,1
D-17/10/91 to D-30/10/91,1
D-10/1/91 to D-20/1/91,1
D-16/6/91 to D-21/6/91,1
D-21/5/91 to D-23/5/91,1
D-25/6/91 to D-30/6/91,1
D-22/7/91 to D-25/7/91,1
D-1/4/91 to D-3/4/91,1
D-21/2/91 to D-24/2/91,1
D-16/3/90 to D-30/3/90,1
D-29/1/90 to D-31/1/90,1
D-8/5/90 to D-20/5/90,1
D-10/4/90 to D-20/4/90,1
D-12/7/90 to D-15/7/90,1
D-6/11/90 to D-8/11/90,1
D-10/3/91 to D-12/3/91,1
D-1/2/90 to D-19/2/90,1
D-1/6/90 to D-4/6/90,1
D-21/2/90 to D-28/2/90,1
D-6/6/90 to D-8/6/90,1
D-27/7/90 to D-31/7/90,5
D-24/9/90 to D-27/9/90,5
D-1/8/90 to D-7/8/90,5
D-9/7/90 to D-11/7/90,5
D-10/6/90 to D-22/6/90,5
D-16/7/90 to D-18/7/90,5
D-6/9/90 to D-13/9/90,5
D-16/9/90 to D-21/9/90,5
D-21/5/90 to D-23/5/90,5
D-1/10/90 to D-5/10/90,5
D-22/4/90 to D-26/4/90,5
D-8/8/90 to D-10/8/90,9
D-7/10/90 to D-9/10/90,9
D-12/10/90 to D-17/10/90,9
D-9/8/91 to D-26/8/91,9
D-25/2/91 to D-28/2/91,11
D-27/1/91 to D-31/1/91,11
D-13/3/91 to D-15/3/91,11
D-22/11/90 to D-26/11/90,11
D-10/2/91 to D-13/2/91,11
D-28/11/90 to D-30/11/90,11
D-10/12/90 to D-14/12/90,11
D-21/1/91 to D-24/1/91,11
